"id","AC","DE","GA","TP","ML"
"2OG-FeII_Oxy","PF03171.23","2OG-Fe(II) oxygenase superfamily","23; 23;","Domain",101
"2OG-FeII_Oxy_2","PF13532.9","2OG-Fe(II) oxygenase superfamily","31.2; 31.2;","Domain",194
"2OG-FeII_Oxy_3","PF13640.9","2OG-Fe(II) oxygenase superfamily","27; 27;","Domain",96
"2OG-FeII_Oxy_4","PF13661.9","2OG-Fe(II) oxygenase superfamily","27; 27;","Domain",98
"2OG-FeII_Oxy_5","PF13759.9","Putative 2OG-Fe(II) oxygenase","27; 27;","Domain",101
"2OG-FeII_Oxy_6","PF20515.1","Tet-like 2OG-Fe(II) oxygenase superfamily","27; 27;","Domain",212
"2OG-Fe_Oxy_2","PF10014.12","2OG-Fe dioxygenase","23.1; 23.1;","Domain",191
"2TM","PF13239.9","2TM domain","24.8; 22.9;","Family",78
"2_5_RNA_ligase2","PF13563.9","2'-5' RNA ligase superfamily","27; 27;","Family",153
"3-alpha","PF03475.17","3-alpha domain","22.7; 22.7;","Domain",44
"3-dmu-9_3-mt","PF06983.16","3-demethylubiquinone-9 3-methyltransferase","24; 24;","Family",116
"3-HAO","PF06052.15","3-hydroxyanthranilic acid dioxygenase","25; 25;","Domain",151
"3-PAP","PF12578.11","Myotubularin-associated protein","23.3; 23.3;","Family",132
"30K_MP_core","PF17644.4","Core domain of 30K viral movement proteins","25; 25;","Domain",138
"30K_MP_C_Ter","PF11330.11","C-Terminal of 30K viral movement proteins","25; 25;","Family",242
"3A","PF00803.21","3A/RNA2 movement protein family","25; 25;","Family",236
"3Beta_HSD","PF01073.22","3-beta hydroxysteroid dehydrogenase/isomerase family","22; 22;","Family",280
"3D","PF06725.14","3D domain","23.8; 23.8;","Domain",75
"3H","PF02829.17","3H domain","25; 25;","Family",97
"3HBOH","PF10605.12","3HB-oligomer hydrolase (3HBOH)","27; 26.4;","Family",689
"3HCDH","PF00725.25","3-hydroxyacyl-CoA dehydrogenase, C-terminal domain","22.1; 22.1;","Domain",97
"3HCDH_N","PF02737.21","3-hydroxyacyl-CoA dehydrogenase, NAD binding domain","22; 22;","Domain",180
"3HCDH_RFF","PF18321.4","3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain","23.6; 23.6;","Domain",69
"3keto-disac_hyd","PF06439.14","3-keto-disaccharide hydrolase","26.8; 26.8;","Domain",185
"40S_S4_C","PF16121.8","40S ribosomal protein S4 C-terminus","27; 27;","Family",48
"40S_SA_C","PF16122.8","40S ribosomal protein SA C-terminus","25; 25;","Family",95
"4F5","PF04419.17","4F5 protein related disordered region","22.3; 22.3;","Disordered",38
"4HB","PF17947.4","Four helical bundle domain","26.1; 26.1;","Domain",78
"4HBT","PF03061.25","Thioesterase superfamily","20.6; 20.6;","Domain",79
"4HBT_2","PF13279.9","Thioesterase-like superfamily","25.5; 25.5;","Domain",123
"4HBT_3","PF13622.9","Thioesterase-like superfamily","27; 27;","Domain",250
"4HB_MCP_1","PF12729.10","Four helix bundle sensory module for signal transduction","27; 27;","Family",181
"4HFCP_synth","PF04476.16","4-HFC-P synthase","22.4; 22.4;","Family",228
"4HPAD_g_N","PF18671.4","4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal","25; 25;","Domain",31
"4PPT_N","PF17837.4","4'-phosphopantetheinyl transferase N-terminal domain","27; 27;","Domain",68
"4_1_CTD","PF05902.16","4.1 protein C-terminal domain (CTD)","25; 25;","Domain",107
"5-FTHF_cyc-lig","PF01812.23","5-formyltetrahydrofolate cyclo-ligase family","27; 27;","Family",187
"5-nucleotidase","PF06189.15","5'-nucleotidase","28.2; 28.2;","Family",266
"53-BP1_Tudor","PF09038.13","Tumour suppressor p53-binding protein-1 Tudor","22; 22;","Domain",122
"5HT_transport_N","PF03491.16","Serotonin (5-HT) neurotransmitter transporter, N-terminus","23; 23;","Family",41
"5TM-5TMR_LYT","PF07694.15","5TMR of 5TMR-LYT","24.6; 24.6;","Domain",168
"5_3_exonuc","PF01367.23","5'-3' exonuclease, C-terminal SAM fold","40; 40;","Domain",97
"5_3_exonuc_N","PF02739.19","5'-3' exonuclease, N-terminal resolvase-like domain","34.3; 34.3;","Domain",159
"5_nucleotid","PF05761.17","5' nucleotidase family","28.5; 28.5;","Family",461
"5_nucleotid_C","PF02872.21","5'-nucleotidase, C-terminal domain","23.6; 23.6;","Domain",158
"60KD_IMP","PF02096.23","60Kd inner membrane protein","35; 35;","Family",166
"6PF2K","PF01591.21","6-phosphofructo-2-kinase","27; 27;","Domain",223
"6PGD","PF00393.22","6-phosphogluconate dehydrogenase, C-terminal domain","27; 27;","Domain",291
"7kD_DNA_binding","PF02294.21","7kD DNA-binding domain","25; 25;","Domain",58
"7TM-7TMR_HD","PF07698.14","7TM receptor with intracellular HD hydrolase","29.4; 29.4;","Domain",193
"7TMR-DISMED2","PF07696.14","7TMR-DISM extracellular 2","22; 22;","Domain",134
"7TMR-DISM_7TM","PF07695.14","7TM diverse intracellular signalling","29; 29;","Domain",205
"7TMR-HDED","PF07697.14","7TM-HD extracellular","27.6; 27.6;","Domain",220
"7tm_1","PF00001.24","7 transmembrane receptor (rhodopsin family)","30.5; 30.5;","Family",264
"7tm_2","PF00002.27","7 transmembrane receptor (Secretin family)","20.6; 20.6;","Family",246
"7tm_3","PF00003.25","7 transmembrane sweet-taste receptor of 3 GCPR","33.5; 33.5;","Domain",243
"7tm_4","PF13853.9","Olfactory receptor","27; 27;","Family",280
"7tm_6","PF02949.23","7tm Odorant receptor","25.8; 25.8;","Family",313
"7tm_7","PF08395.15","7tm Chemosensory receptor","26.6; 26.6;","Family",370
"7TM_GPCR_Sra","PF02117.19","Serpentine type 7TM GPCR chemoreceptor Sra","24; 24;","Family",328
"7TM_GPCR_Srab","PF10292.12","Serpentine type 7TM GPCR receptor class ab chemoreceptor","21; 21;","Family",324
"7TM_GPCR_Srb","PF02175.19","Serpentine type 7TM GPCR chemoreceptor Srb","21.7; 21.7;","Family",236
"7TM_GPCR_Srbc","PF10316.12","Serpentine type 7TM GPCR chemoreceptor Srbc","22; 22;","Family",275
"7TM_GPCR_Srd","PF10317.12","Serpentine type 7TM GPCR chemoreceptor Srd","22.8; 22.8;","Family",292
"7TM_GPCR_Srh","PF10318.12","Serpentine type 7TM GPCR chemoreceptor Srh","26.3; 26.3;","Family",302
"7TM_GPCR_Sri","PF10327.12","Serpentine type 7TM GPCR chemoreceptor Sri","23; 23;","Family",303
"7TM_GPCR_Srj","PF10319.12","Serpentine type 7TM GPCR chemoreceptor Srj","24.1; 24.1;","Family",310
"7TM_GPCR_Srsx","PF10320.12","Serpentine type 7TM GPCR chemoreceptor Srsx","24.1; 24.1;","Family",257
"7TM_GPCR_Srt","PF10321.12","Serpentine type 7TM GPCR chemoreceptor Srt","23; 23;","Family",313
"7TM_GPCR_Sru","PF10322.12","Serpentine type 7TM GPCR chemoreceptor Sru","26; 26;","Family",304
"7TM_GPCR_Srv","PF10323.12","Serpentine type 7TM GPCR chemoreceptor Srv","21; 21;","Family",283
"7TM_GPCR_Srw","PF10324.12","Serpentine type 7TM GPCR chemoreceptor Srw","22.2; 22.2;","Family",319
"7TM_GPCR_Srx","PF10328.12","Serpentine type 7TM GPCR chemoreceptor Srx","23.8; 23.8;","Family",263
"7TM_GPCR_Srz","PF10325.12","Serpentine type 7TM GPCR chemoreceptor Srz","22; 22;","Family",266
"7TM_GPCR_Str","PF10326.12","Serpentine type 7TM GPCR chemoreceptor Str","22; 22;","Family",307
"7TM_transglut","PF14402.9","7 transmembrane helices usually fused to an inactive transglutaminase","25; 25;","Family",248
"8TM_micro","PF17028.8","8TM Microsporidial transmembrane domain","25; 24.6;","Family",255
"A-2_8-polyST","PF07388.14","Alpha-2,8-polysialyltransferase (POLYST)","23.3; 23.3;","Family",310
"A1_Propeptide","PF07966.15","A1 Propeptide","20.5; 20.5;","Motif",27
"A2L_zn_ribbon","PF08792.13","A2L zinc ribbon domain","22.9; 22.9;","Domain",33
"A2M","PF00207.25","Alpha-2-macroglobulin family","21; 21;","Family",92
"A2M_BRD","PF07703.17","Alpha-2-macroglobulin bait region domain","22.7; 22.7;","Domain",138
"A2M_recep","PF07677.17","A-macroglobulin receptor binding domain","21.7; 21.7;","Domain",94
"AA9","PF03443.17","Auxiliary Activity family 9 (formerly GH61)","27.8; 27.8;","Family",205
"AAA","PF00004.32","ATPase family associated with various cellular activities (AAA)","21.2; 21.2;","Domain",132
"AAA-ATPase_like","PF09820.12","Predicted AAA-ATPase","26.1; 26.1;","Family",280
"AAA_10","PF12846.10","AAA-like domain","27.5; 27.5;","Domain",362
"AAA_11","PF13086.9","AAA domain","27; 27;","Domain",261
"AAA_12","PF13087.9","AAA domain","27; 27;","Domain",199
"AAA_13","PF13166.9","AAA domain","36; 36;","Domain",714
"AAA_14","PF13173.9","AAA domain","27; 27;","Family",130
"AAA_15","PF13175.9","AAA ATPase domain","32.1; 32.1;","Domain",374
"AAA_16","PF13191.9","AAA ATPase domain","32.6; 32.6;","Domain",170
"AAA_17","PF13207.9","AAA domain","27; 27;","Domain",136
"AAA_18","PF13238.9","AAA domain","29.4; 29.4;","Domain",129
"AAA_19","PF13245.9","AAA domain","25.1; 25.1;","Domain",147
"AAA_2","PF07724.17","AAA domain (Cdc48 subfamily)","27; 27;","Domain",171
"AAA_21","PF13304.9","AAA domain, putative AbiEii toxin, Type IV TA system","27; 27;","Domain",304
"AAA_22","PF13401.9","AAA domain","27; 27;","Domain",137
"AAA_23","PF13476.9","AAA domain","27; 27;","Domain",200
"AAA_24","PF13479.9","AAA domain","27; 27;","Domain",196
"AAA_25","PF13481.9","AAA domain","27; 27;","Domain",194
"AAA_26","PF13500.9","AAA domain","27; 27;","Domain",198
"AAA_27","PF13514.9","AAA domain","22; 22;","Domain",207
"AAA_28","PF13521.9","AAA domain","27; 27;","Domain",163
"AAA_29","PF13555.9","P-loop containing region of AAA domain","27; 27;","Domain",61
"AAA_3","PF07726.14","ATPase family associated with various cellular activities (AAA)","27; 27;","Domain",131
"AAA_30","PF13604.9","AAA domain","27; 27;","Domain",192
"AAA_31","PF13614.9","AAA domain","27; 27;","Domain",177
"AAA_32","PF13654.9","LonB-like, AAA domain","21; 21;","Domain",133
"AAA_33","PF13671.9","AAA domain","27; 27;","Domain",143
"AAA_34","PF13872.9","P-loop containing NTP hydrolase pore-1","27; 27;","Domain",302
"AAA_35","PF14516.9","AAA-like domain","27; 27;","Family",331
"AAA_5","PF07728.17","AAA domain (dynein-related subfamily)","22; 22;","Domain",138
"AAA_6","PF12774.10","Hydrolytic ATP binding site of dynein motor region","25.2; 25.2;","Domain",327
"AAA_7","PF12775.10","P-loop containing dynein motor region","25.8; 25.8;","Domain",181
"AAA_8","PF12780.10","P-loop containing dynein motor region D4","25.6; 25.6;","Domain",259
"AAA_9","PF12781.10","ATP-binding dynein motor region","27.4; 27.4;","Domain",222
"AAA_assoc","PF14363.9","Domain associated at C-terminal with AAA","26.4; 26.4;","Family",96
"AAA_assoc_2","PF16193.8","AAA C-terminal domain","34.3; 34.3;","Family",82
"AAA_assoc_C","PF09821.12","C-terminal AAA-associated domain","27.6; 27.6;","Domain",119
"AAA_lid_1","PF17857.4","AAA+ lid domain","21.3; 21.3;","Domain",100
"AAA_lid_10","PF17872.4","AAA lid domain","23.2; 23.2;","Domain",99
"AAA_lid_11","PF18198.4","Dynein heavy chain AAA lid domain","31; 31;","Domain",139
"AAA_lid_2","PF17863.4","AAA lid domain","22.7; 22.7;","Domain",73
"AAA_lid_3","PF17862.4","AAA+ lid domain","27.2; 27.2;","Domain",45
"AAA_lid_4","PF17864.4","RuvB AAA lid domain","27; 27;","Domain",74
"AAA_lid_5","PF17865.4","Midasin AAA lid domain","22.7; 22.7;","Domain",106
"AAA_lid_6","PF17866.4","AAA lid domain","24.3; 24.3;","Domain",61
"AAA_lid_7","PF17867.4","Midasin AAA lid domain","22.7; 22.7;","Domain",107
"AAA_lid_8","PF17868.4","AAA lid domain","22.8; 22.8;","Domain",72
"AAA_lid_9","PF17871.4","AAA lid domain","22.8; 22.8;","Domain",104
"AAA_PrkA","PF08298.14","PrkA AAA domain","25; 25;","Domain",358
"AadA_C","PF18280.4","Aminoglycoside adenyltransferase C-terminal domain","27; 27;","Domain",104
"AalphaY_MDB","PF04611.15","Mating type protein A alpha Y mating type dependent binding region","25; 25;","Family",145
"AAL_decarboxy","PF03306.16","Alpha-acetolactate decarboxylase","25; 25;","Domain",219
"AAR2","PF05282.14","AAR2 protein","23.6; 23.6;","Repeat",369
"AARP2CN","PF08142.15","AARP2CN (NUC121) domain","23.8; 23.8;","Domain",86
"AAT","PF03417.19","Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase","23.2; 23.2;","Domain",227
"AATase","PF07247.15","Alcohol acetyltransferase","22; 22;","Family",500
"AATF-Che1","PF13339.9","Apoptosis antagonizing transcription factor","24.7; 24.7;","Family",137
"AA_kinase","PF00696.31","Amino acid kinase family","24.9; 24.9;","Family",241
"AA_permease","PF00324.24","Amino acid permease","24.6; 24.6;","Domain",479
"AA_permease_2","PF13520.9","Amino acid permease","27; 27;","Family",427
"AA_permease_C","PF13906.9","C-terminus of AA_permease","27; 27;","Domain",51
"AA_permease_N","PF08403.13","Amino acid permease N-terminal","21; 21;","Family",70
"AA_synth","PF06684.14","Amino acid synthesis","27; 27;","Family",176
"Aa_trans","PF01490.21","Transmembrane amino acid transporter protein","25.6; 25.6;","Family",409
"ABA4-like","PF14108.9","ABA DEFICIENT 4-like","27; 27;","Family",127
"ABATE","PF07336.14","Putative stress-induced transcription regulator","24.4; 24.4;","Family",128
"ABA_GPCR","PF12430.11","Abscisic acid G-protein coupled receptor","22.1; 22.1;","Family",182
"ABA_WDS","PF02496.19","ABA/WDS induced protein","25; 25;","Family",78
"AbbA_antirepres","PF14156.9","Antirepressor AbbA","27; 27;","Family",63
"ABC-3","PF00950.20","ABC 3 transport family","20.1; 20.1;","Family",258
"ABC1","PF03109.19","ABC1 atypical kinase-like domain","22.9; 22.9;","Domain",244
"ABC2_membrane","PF01061.27","ABC-2 type transporter","26.9; 26.9;","Family",210
"ABC2_membrane_2","PF12679.10","ABC-2 family transporter protein","27.2; 27.2;","Domain",288
"ABC2_membrane_3","PF12698.10","ABC-2 family transporter protein","31.6; 31.6;","Family",346
"ABC2_membrane_4","PF12730.10","ABC-2 family transporter protein","27; 27;","Family",179
"ABC2_membrane_5","PF13346.9","ABC-2 family transporter protein","25; 25;","Family",205
"ABC2_membrane_6","PF06182.14","ABC-2 family transporter protein","22; 22;","Family",229
"ABC2_membrane_7","PF19055.3","ABC-2 type transporter","22.7; 22.7;","Family",409
"ABC_ATPase","PF09818.12","ATPase of the ABC class","19.8; 19.8;","Domain",283
"ABC_cobalt","PF09819.12","ABC-type cobalt transport system, permease component","25.2; 25.2;","Family",121
"ABC_export","PF16962.8","Putative ABC exporter","29.7; 29.7;","Family",533
"ABC_membrane","PF00664.26","ABC transporter transmembrane region","28; 21.7;","Family",274
"ABC_membrane_2","PF06472.18","ABC transporter transmembrane region 2","24.4; 24.4;","Family",269
"ABC_membrane_3","PF13748.9","ABC transporter transmembrane region","27; 27;","Family",235
"ABC_N","PF20446.1","ATPase of the ABC class N-terminal","26.5; 26.5;","Domain",163
"ABC_sub_bind","PF04392.15","ABC transporter substrate binding protein","25.9; 25.9;","Family",293
"ABC_toxin_N","PF20220.1","ABC toxin N-terminal region","27; 27;","Family",124
"ABC_tran","PF00005.30","ABC transporter","25; 25;","Domain",137
"ABC_transp_aux","PF09822.12","ABC-type uncharacterized transport system","34.7; 34.7;","Family",265
"ABC_trans_aux","PF03886.16","ABC-type transport auxiliary lipoprotein component","26; 26;","Family",161
"ABC_trans_CmpB","PF06541.14","Putative ABC-transporter type IV","25.9; 25.9;","Family",150
"ABC_trans_N","PF14510.9","ABC-transporter N-terminal","25.4; 25.4;","Domain",81
"ABC_tran_2","PF16949.8","Putative ATP-binding cassette","25.7; 25.7;","Family",542
"ABC_tran_CTD","PF16326.8","ABC transporter C-terminal domain","32; 32;","Coiled-coil",69
"ABC_tran_Xtn","PF12848.10","ABC transporter","25.9; 25.9;","Domain",85
"Abdominal-A","PF12407.11","Homeobox protein","25; 25;","Disordered",24
"AbfB","PF05270.16","Alpha-L-arabinofuranosidase B (ABFB) domain","22.8; 22.8;","Domain",139
"AbfS_sensor","PF18225.4","Sensor histidine kinase (AbfS) sensor domain","26; 26;","Domain",65
"ABG_transport","PF03806.16","AbgT putative transporter family","27; 27;","Family",502
"ABHD18","PF09752.12","Alpha/beta hydrolase domain containing 18","21; 21;","Family",352
"Abhydrolase_1","PF00561.23","alpha/beta hydrolase fold","25.8; 25.8;","Domain",257
"Abhydrolase_10","PF20091.2","Alpha/beta hydrolase domain","22.9; 22.9;","Domain",410
"Abhydrolase_11","PF20408.1","Alpha/beta hydrolase domain","27; 27;","Domain",194
"Abhydrolase_2","PF02230.19","Phospholipase/Carboxylesterase","23; 23;","Domain",217
"Abhydrolase_3","PF07859.16","alpha/beta hydrolase fold","25; 25;","Domain",211
"Abhydrolase_4","PF08386.13","TAP-like protein","21; 21;","Family",103
"Abhydrolase_5","PF12695.10","Alpha/beta hydrolase family","27; 27;","Domain",164
"Abhydrolase_6","PF12697.10","Alpha/beta hydrolase family","26.3; 26.3;","Domain",220
"Abhydrolase_7","PF12715.10","Abhydrolase family","21; 21;","Domain",388
"Abhydrolase_8","PF06259.15","Alpha/beta hydrolase","20.5; 20.5;","Family",178
"Abhydrolase_9","PF10081.12","Alpha/beta-hydrolase family","26; 26;","Family",288
"Abhydrolase_9_N","PF15420.9","Alpha/beta-hydrolase family N-terminus","27; 27;","Family",209
"Abhydro_lipase","PF04083.19","Partial alpha/beta-hydrolase lipase region","27; 27;","Family",64
"AbiEii","PF08843.14","Nucleotidyl transferase AbiEii toxin, Type IV TA system","22.5; 22.5;","Domain",239
"AbiEi_1","PF09407.13","AbiEi antitoxin C-terminal domain","22.2; 22.2;","Domain",142
"AbiEi_2","PF09952.12","Transcriptional regulator, AbiEi antitoxin, Type IV TA system","21; 21;","Family",143
"AbiEi_3","PF11459.11","Transcriptional regulator, AbiEi antitoxin, Type IV TA system","26; 26;","Family",159
"AbiEi_3_N","PF17194.7","Transcriptional regulator, AbiEi antitoxin N-terminal domain","26; 26;","Domain",93
"AbiEi_4","PF13338.9","Transcriptional regulator, AbiEi antitoxin","25; 25;","Domain",49
"AbiGi","PF10899.11","Putative abortive phage resistance protein AbiGi, antitoxin","22.4; 22.4;","Family",174
"AbiGii_2","PF16873.8","Putative abortive phage resistance protein AbiGii toxin","25; 25;","Domain",397
"aBig_2","PF20578.1","Atrophied bacterial Ig domain","27; 27;","Domain",89
"AbiH","PF14253.9","Bacteriophage abortive infection AbiH","30.9; 30.9;","Family",260
"AbiJ_NTD3","PF18860.4","AbiJ N-terminal domain 3","32.5; 32.5;","Domain",167
"AbiJ_NTD4","PF18863.4","AbiJ N-terminal domain 4","34; 34;","Domain",166
"AbiJ_NTD5","PF18865.4","AbiJ N-terminal domain 5","26.7; 26.7;","Domain",93
"AbiTii","PF18864.4","AbiTii","27.6; 27.6;","Domain",188
"Abi_2","PF07751.14","Abi-like protein","25.6; 25.6;","Family",180
"Abi_alpha","PF14337.9","Abortive infection alpha","27.1; 27.1;","Family",194
"Abi_C","PF14355.9","Abortive infection C-terminus","24; 24;","Family",83
"Abi_HHR","PF07815.17","Abl-interactor HHR","27; 27;","Family",77
"AbLIM_anchor","PF16182.8","Putative adherens-junction anchoring region of AbLIM","29; 29;","Family",366
"ABM","PF03992.19","Antibiotic biosynthesis monooxygenase","23.1; 20.9;","Domain",78
"Abp2","PF09441.13","ARS binding protein 2","25; 25;","Family",171
"AbrB","PF05145.15","Transition state regulatory protein AbrB","29.2; 29.2;","Family",314
"AbrB-like","PF14250.9","AbrB-like transcriptional regulator","25; 25;","Family",70
"AbrB_C","PF18277.4","AbrB C-terminal domain","22.8; 22.8;","Domain",37
"Ac110_PIF","PF07280.14","Per os infectivity factor AC110","25; 25;","Family",43
"Ac45-VOA1_TM","PF20520.1","V0 complex accessory subunit Ac45/VOA1 transmembrane domain","25; 25;","Domain",39
"Ac76","PF05814.14","Orf76 (Ac76)","22.5; 22.5;","Family",83
"Ac81","PF05820.14","Baculoviridae AC81","25; 25;","Family",181
"AcaB","PF08900.14","Transcriptional regulator AcaB","27; 27;","Family",215
"ACAS_N","PF16177.8","Acetyl-coenzyme A synthetase N-terminus","27; 27;","Family",55
"Acatn","PF13000.10","Acetyl-coenzyme A transporter 1","23.7; 23.7;","Family",548
"ACBP","PF00887.22","Acyl CoA binding protein","28.3; 28.3;","Domain",82
"Acc5b_avian_CoV","PF05528.14","Accessory protein 5b, avian coronavirus","25; 25;","Family",82
"ACCA","PF03255.17","Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit","23; 23;","Family",144
"ACC_central","PF08326.15","Acetyl-CoA carboxylase, central region","23.2; 23.2;","Family",726
"ACC_epsilon","PF13822.9","Acyl-CoA carboxylase epsilon subunit","25; 25;","Family",61
"ACD","PF16671.8","Actin cross-linking domain","27; 27;","Domain",386
"ACDC","PF14733.9","AP2-coincident C-terminal","22; 22;","Family",93
"ACDH_C","PF09317.14","Acyl-CoA dehydrogenase, C-terminal, bacterial type","25; 25;","Domain",284
"AceK_kinase","PF06315.14","Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain","29.3; 29.3;","Domain",256
"AceK_regulatory","PF20423.1","Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain","25; 25;","Domain",302
"Acetate_kinase","PF00871.20","Acetokinase family","22; 22;","Family",392
"AcetDehyd-dimer","PF09290.14","Prokaryotic acetaldehyde dehydrogenase, dimerisation","26.6; 26.6;","Domain",138
"Acetone_carb_G","PF08882.14","Acetone carboxylase gamma subunit","21; 21;","Domain",114
"AcetylCoA_hydro","PF02550.18","Acetyl-CoA hydrolase/transferase N-terminal domain","24; 24;","Domain",198
"AcetylCoA_hyd_C","PF13336.9","Acetyl-CoA hydrolase/transferase C-terminal domain","23.7; 23.7;","Domain",154
"Acetyltransf_1","PF00583.28","Acetyltransferase (GNAT) family","20.7; 20.7;","Family",117
"Acetyltransf_10","PF13673.10","Acetyltransferase (GNAT) domain","23.6; 23.6;","Domain",128
"Acetyltransf_11","PF13720.9","Udp N-acetylglucosamine O-acyltransferase; Domain 2","24.5; 24.5;","Domain",82
"Acetyltransf_13","PF13880.9","ESCO1/2 acetyl-transferase","22.8; 22.8;","Domain",69
"Acetyltransf_14","PF03421.19","YopJ Serine/Threonine acetyltransferase","22.6; 22.6;","Family",177
"Acetyltransf_15","PF17013.8","Putative acetyl-transferase","35; 35;","Family",210
"Acetyltransf_16","PF05301.14","GNAT acetyltransferase, Mec-17","27; 27;","Family",173
"Acetyltransf_17","PF17668.4","Acetyltransferase (GNAT) domain","25; 25;","Domain",116
"Acetyltransf_18","PF18014.4","Acetyltransferase (GNAT) domain","22.7; 22.7;","Domain",123
"Acetyltransf_19","PF18015.4","Acetyltransferase (GNAT) domain","23.8; 23.8;","Domain",114
"Acetyltransf_2","PF00797.20","N-acetyltransferase","22.8; 22.8;","Family",240
"Acetyltransf_3","PF13302.10","Acetyltransferase (GNAT) domain","25.4; 25.4;","Domain",138
"Acetyltransf_4","PF13420.10","Acetyltransferase (GNAT) domain","24.3; 24.3;","Domain",155
"Acetyltransf_5","PF13444.9","Acetyltransferase (GNAT) domain","22.4; 22.4;","Domain",102
"Acetyltransf_6","PF13480.10","Acetyltransferase (GNAT) domain","22; 22;","Domain",142
"Acetyltransf_7","PF13508.10","Acetyltransferase (GNAT) domain","27; 27;","Domain",80
"Acetyltransf_8","PF13523.9","Acetyltransferase (GNAT) domain","27; 27;","Domain",145
"Acetyltransf_9","PF13527.10","Acetyltransferase (GNAT) domain","25; 25;","Domain",127
"Acetyltransf_CG","PF14542.9","GCN5-related N-acetyl-transferase","30; 30;","Domain",79
"AChE_tetra","PF08674.13","Acetylcholinesterase tetramerisation domain","25; 25;","Domain",35
"ACI44","PF15270.9","Metallo-carboxypeptidase inhibitor","27; 27;","Family",65
"Acid_phosphat_B","PF03767.17","HAD superfamily, subfamily IIIB (Acid phosphatase)","27; 27;","Family",230
"Acid_PPase","PF12689.10","Acid Phosphatase","27; 27;","Family",169
"AcMNPV_Ac109","PF05054.15","Autographa californica nuclear polyhedrosis virus (AcMNPV) protein","25; 25;","Family",390
"AcMNPV_AC11","PF07138.14","Baculovirus protein AC11","27; 27;","Family",334
"AcMNPV_Ac75","PF06648.14","Autographa californica nuclear polyhedrosis virus (AcMNPV), Ac75","24.4; 24.4;","Family",122
"AcMNPV_Orf101","PF05815.14","Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf101","25; 25;","Family",352
"AcMNPV_Orf17","PF06856.14","Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf17","22; 22;","Family",121
"AcMNPV_Orf18","PF07134.14","Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18","25; 25;","Family",328
"AcMNPV_P18","PF05081.15","Autographa californica nuclear polyhedrosis virus (AcMNPV), P18","25; 25;","Family",157
"AcnX","PF04412.16","Aconitase X","31.5; 31.5;","Family",401
"AcnX_swivel_put","PF01989.19","Aconitase X swivel domain","27; 27;","Domain",80
"Aconitase","PF00330.23","Aconitase family (aconitate hydratase)","28.7; 28.7;","Family",461
"Aconitase_2_N","PF06434.16","Aconitate hydratase 2 N-terminus","27; 27;","Family",204
"Aconitase_B_N","PF11791.11","Aconitate B N-terminal domain","25.8; 25.8;","Repeat",153
"Aconitase_C","PF00694.22","Aconitase C-terminal domain","22.8; 22.8;","Domain",131
